category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CLOTH,FRA,https://www.instyle.com/thmb/OAc-fwHSyKJqVi2DoKKh1yN53sM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/is-best-french-brands-tout-2-5075e55333f844ea9df521e4de75e1b2.jpg,2024-08-10T02:13:55.672745,Four women are wearing different outfits.,0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,"https://media.glamour.com/photos/600a5d9ccbe24aa574a2bf18/16:9/w_1280,c_limit/french%20clothing%20brands%202021.jpg",2024-08-10T02:13:55.672745,The image shows three women in different clothing styles.,0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://static.fibre2fashion.com//articleresources/images/80/7981/Evolution-of-french-fashion_small_Small.jpg,2024-08-10T02:13:55.672745,Five people in elaborate clothing stand in a row.,0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://www.mediastorehouse.com/p/629/france-people-traditional-clothing-17th-century-28446693.jpg.webp,2024-08-10T02:13:55.672745,"Three people are standing in a line, each wearing different clothing.",0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://i.pinimg.com/736x/ad/e8/73/ade8737f9e090e4dbf52764372352e8f.jpg,2024-08-10T02:13:55.672745,"A woman is standing wearing a long dress, a shawl, and a hat.",0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://i.ebayimg.com/images/g/CFwAAOSwP7Nbj83R/s-l1200.jpg,2024-08-10T02:13:55.672745,"A woman is wearing a striped shirt with a red scarf and beret, next to a black beret and a string of round objects.",0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://i0.wp.com/thesimplyluxuriouslife.com/wp-content/uploads/2017/08/frenchcompan.jpg?fit=5120%2C3840&ssl=1,2024-08-10T02:13:55.672745,The image features six women wearing different styles of clothing.,0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://world4.eu/wp-content/uploads/2020/12/costume-departement-finistere.jpg,2024-08-10T02:13:55.672745,The image shows a group of people wearing traditional clothing.,0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://m.media-amazon.com/images/I/71VsYwK3+BL._AC_UY1000_.jpg,2024-08-10T02:13:55.672745,"A black and white striped shirt, a black skirt, a red hat, red sunglasses, a red neck scarf, and two pairs of white gloves are displayed on a white background.",0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,"https://media.cntraveler.com/photos/53e2f545c2d3f39d3610c035/16:9/w_1280,c_limit/plane-clothes.jpg",2024-08-10T02:13:55.672745,"A flat lay of clothing, shoes, accessories and a bag.",0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://assets.vogue.com/photos/623b5af21d3093a1b16042a5/master/w_1600%2Cc_limit/DIP_3.jpg,2024-08-10T02:13:55.672745,Two men are standing outside in casual clothing.,0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://7700b77c.rocketcdn.me/wp-content/uploads/2022/12/SEZANE-HERO.png,2024-08-10T02:13:55.672745,"A person in a long coat and pants stands on a balcony, looking out to the side.",0,0,0,0,0,,2024-08-11T16:17:10.262959
CLOTH,FRA,https://maisondecinq.com/wp-content/uploads/2020/02/IMG_6904.jpg,2024-08-10T02:13:55.672745,"A woman is standing on a sidewalk wearing a long coat, jeans, and shoes.",0,0,0,0,0,,2024-08-11T16:17:10.262959
