__id__,caption,category_code,country_code,created_at,url
01wC2lzOJm0V174a77XX,A group of people wearing Chinese traditional Hmong clong with silver decorlation on their hat walking on the street,CLOTH,CHN,2024-07-01T13:40:02Z,https://www.pexels.com/photo/people-on-festival-on-street-8898778/
0F2Xy707nWTQ4O2LM9bw,the backview two people wearing traditional Chinese Han Dynasty clothing,CLOTH,CHN,2024-07-01T13:40:02Z,https://pixabay.com/zh/photos/hanfu-chinese-style-photography-6910631/
0LIeSSbOpKluKHlaOVIT,a Chinese old man practicing Tai Chi in white kim on the grass,DANCE,CHN,2024-07-01T13:40:02Z,https://www.keepmovingokc.org/wp-content/uploads/sites/www.keepmovingokc.org/images/2022/01/Tai-Chi-chuan-practitioner-768x520.jpg
0Lt5S0VZSw7lssFI7K3A,some people standing up holding the Chinese flags,PEOPLE,CHN,2024-07-01T13:40:02Z,https://img2.chinadaily.com.cn/images/201910/05/5d97a319a310cf3e979fcdff.jpeg
0iVZ8bgJcESvrnI0iOmp,Chinese classical dancers in green silk costumes and makeup,DANCE,CHN,2024-07-01T13:40:02Z,https://static.careerengine.us/api/aov2/https%3A_%7C__%7C_mmbiz.qpic.cn_%7C_mmbiz_png_%7C_pSThXxDOdw8EQwHTUsIR0WibsAgnwruPkVMOo7dDnrZVzqvXg3uXP8mJu4c1jZ12icJNquKouMbECCC7G87YkSrg_%7C_640%3Fwx_fmt%3Dpng
1kgs9DGabOgikdSuXhGG,women in pink Tang suit playing Chinese traditional instrument pipa in a concert,DANCE,CHN,2024-07-01T13:40:02Z,https://live.staticflickr.com/3815/10083150584_c2a66fe53e_b.jpg
1ttEQBXeKWMbK3LD9OgS,a street in Hong Kong with cars flanked by buildings and stores,CITIES,CHN,2024-07-01T13:40:02Z,https://www.istockphoto.com/photo/hong-kong-street-scene-mongkok-district-with-traffic-gm915312144-251906958?phrase=hong+kong+street&searchscope=image%2Cfilm
2CnkisCuzHnfzmN7JNuy,a man playing a Chinese traditional wooden flute,DANCE,CHN,2024-07-01T13:40:02Z,https://www.pexels.com/photo/man-using-a-flute-12391588/
2ilIFvhJdFAou3MoMbB6,two Chinese ladies are sharing a table full of Chinese dishes,PEOPLE,CHN,2024-07-01T13:40:02Z,https://www.pexels.com/photo/a-grandmother-feeding-her-granddaughter-7363751/
2kpWWQVnrWZllDfhcBJe,"many Cantonese style Chinese dishes, including steamed fish, sliced duck, buns, spring rolls and congee",FOOD,CHN,2024-07-01T13:40:02Z,https://rimage.gnst.jp/rest/img/grx6kkd10000/s_004b.jpg?dt=1648166976
34g4d82RE2FZ3ufSWORN,"the young dancer wearing dress doing a chinese classical dance, with some of their arms stretched",DANCE,CHN,2024-07-01T13:40:02Z,"https://img1.baidu.com/it/u=2553263563,1464872678&fm=253&fmt=auto&app=138&f=JPEG?w=516&h=353"
3iYsqzWVW9wiO3DGncTC,Chinese mooncakes placed in plastic box,FOOD,CHN,2024-07-01T13:40:02Z,https://www.flickr.com/photos/hochit/1436386614
4lGhXDbinwEBmJL7zkFs,"stone roads and stairs in Chongqing, China, with lanterns hanging from old stone buildings",CITIES,CHN,2024-07-01T13:40:02Z,https://www.morningstar.co.uk/static/UploadManager/Assets/China%20Steps.jpg
5F6ozBLN0jfFDMByzlC2,"a Chinese family is eating with chopsticks and spoons, and the table is filled with dishes",PEOPLE,CHN,2024-07-01T13:40:02Z,https://cdn.i-scmp.com/sites/default/files/styles/1200x800/public/d8/%20s/canvas/2023/09/23/ab71d4d6-e138-4992-96cc-4cf66b76e07d_9263cc4c.jpg?itok=ub1LIlqM&v=1695457179
5YIILo4RE4iz44AKGIiu,a bowl of Chinese beef noodles on the table,FOOD,CHN,2024-07-01T13:40:02Z,https://imengine.prod.srp.navigacloud.com/?uuid=A5770641-0315-4669-B01D-546A15E3BD50&type=primary&q=72&width=1024
6RLJKY5LIf3wkZ0A6nGd,"Chinese hot pot with tofu cooked in it, sliced lamb and egg dumplings on the side",FOOD,CHN,2024-07-01T13:40:02Z,https://upload.wikimedia.org/wikipedia/commons/5/55/Food_%E5%A4%AB%E5%A6%BB%E8%82%BA%E7%89%87%2C_%E5%A4%AB%E5%A6%BB%E8%82%BA%E7%89%87%E9%BA%BB%E8%BE%A3%E7%81%AB%E9%8D%8B%2C_%E5%8F%B0%E5%8C%97_%2815953315094%29.jpg
6V698o575I7Ue9XSRmDN,a Chinese basketball team playing on basketball court,PEOPLE,CHN,2024-07-01T13:40:02Z,https://pxhere.com/zh/photo/867673
6bRSpeCkI8YGDeEWWMXG,Chinese mountains with some pine trees growing on it,NATUR,CHN,2024-07-01T13:40:02Z,https://media.tacdn.com/media/attractions-splice-spp-674x446/0b/39/9b/2b.jpg
6shfVrCkxjdXjEDLBQiL,a Chinese couple are standing and smiling together,PEOPLE,CHN,2024-07-01T13:40:02Z,https://www.ecnu.edu.cn/__local/F/09/03/78324DD28DD0C0C849F7180AED4_A171EF5A_1AB3D6.jpg?e=.jpg
7X2Sznl5CeLdSEI5QrPm,Chinese fried chicken wings in a white plate,FOOD,CHN,2024-07-01T13:40:02Z,https://www.flickr.com/photos/10559879@N00/2498975990
8CuqCsxHeru72AE1hLOc,"Chinese fried rice with eggs and ham, topped with scallions",FOOD,CHN,2024-07-01T13:40:02Z,https://www.shutterstock.com/zh/image-photo/fried-rice-braised-porkshrimpsquidegg-1730946862
8IcPy6Hf2niJ3TbmOsfV,Chinese raw dumplings,FOOD,CHN,2024-07-01T13:40:02Z,https://cdn.pixabay.com/photo/2019/12/19/19/29/dumplings-4706924_1280.jpg
8OLfAAxuxuqwc2pVZ1Cn,two women in Chinese cheongsam standing in front of a table with one holding a chinese hand fan,CLOTH,CHN,2024-07-01T13:40:02Z,https://www.istockphoto.com/photo/asian-chinese-female-tailor-small-business-owner-and-her-mother-standing-at-work-gm1340726126-420713973
8X3APUxvlIl02qnt4LUt,many mongolian tents in the grasslands of Inner Mongolia in China,ARCH,CHN,2024-07-01T13:40:02Z,https://forums.ageofempires.com/uploads/default/original/3X/8/2/82ecfe38f29e052b20e26b9cd34bfcb2cc5a167d.jpeg
8nNa5yABOHg22CtGIkko,a road lined with Chinese traditional houses on both sides and modern high-rise buildings in the back,CITIES,CHN,2024-07-01T13:40:02Z,https://pixels.com/featured/chengdus-historic-and-modern-cityscape-nate-hovee.html?product=greeting-card
9pJxasJR1AqLAfOoVTCB,a couple dressed in traditional Chinese Ming Dynasty costumes and holding a hand fan,CLOTH,CHN,2024-07-01T13:40:02Z,https://pic.sogou.com/pic/download.jsp?addressbar=hide&statref=searchlist_hintword_up&v=5&keyword=%E6%B1%89%E6%9C%8D%E7%94%B7%E5%A5%B3%E5%9B%BE%E7%89%87&initQuery=%E6%B1%89%E6%9C%8D%E7%94%B7%E5%A5%B3%E5%9B%BE%E7%89%87&category_kind=searchList_bigMode&mode=1&mood=0&tagQSign=&start=0&xml_len=48&channel=&dataSource=searchhub&groupIndex=0&g_index=1&id=e154002750821088-520a1c45f6b87545-63b77fdb33c7ec7b08887a309820daf3&ssf=&group_docid=#!id=e154002750821088-520a1c45f6b87545-63b77fdb33c7ec7b08887a309820daf3&index=1
9sKjXFXAngks9hOxhWiM,Some girls are performing traditional Chinese dancing on the stage,DANCE,CHN,2024-07-01T13:40:02Z,https://www.flickr.com/photos/25802865@N08/41886328224/in/photostream/
A2ml1rw4SSC26wLRteLj,a young man and woman dressed in traditional Chinese Han Dynasty costumes,CLOTH,CHN,2024-07-01T13:40:02Z,https://i.ebayimg.com/images/g/358AAOSwjkpg-T~O/s-l960.jpg
AfQ5M2AyNRueNHkkvIqe,Chinese citizens dancing in the square at night,DANCE,CHN,2024-07-01T13:40:02Z,https://n.sinaimg.cn/transform/20150326/gnbB-cczmvun7145566.jpg
BOcFnax9cQDvfIojOeux,some Chinese fried Baozi in a pot,FOOD,CHN,2024-07-01T13:40:02Z,https://cdn.pixabay.com/photo/2015/03/12/09/27/dumplings-669901_1280.jpg
CYFGGHqJt8e9F4pDeegY,an empty road near some buildings in a city in China,CITIES,CHN,2024-07-01T13:40:02Z,https://photo.tuchong.com/1476178/f/656154851.jpg
Cti8hn0edf0SN1DGCf27,a group of Chinese university students with robotics viechles in front of a building,PEOPLE,CHN,2024-07-01T13:40:02Z,https://www.ecnu.edu.cn/__local/2/C3/CA/CCFB038CBB7B5B9B800226C1019_FA44CF16_1CB4E6.jpg?e=.jpg
D4vQcRHSt8IBbEKLkyDV,"A bowl of tangyuan, traditional Chinese rice balls for Chinese Lantern Festival",RELIG,CHN,2024-07-01T13:40:02Z,http://www.guojieba.cn/zb_users/upload/yuanxiao.jpg
EBT3Ko1jSaC8JA2kPrVC,A white bus on the city street in China,TOOLS,CHN,2024-07-01T13:40:02Z,https://commons.wikimedia.org/wiki/File:%E6%B7%B1%E5%9C%B3%E5%85%AC%E4%BA%A468%E8%B7%AF%E2%80%A2BYD6850HZEV5.jpg
EL25MQe8vJcq4aYqSHzl,a Chinese man smiling with his laptop,PEOPLE,CHN,2024-07-01T13:40:02Z,https://pxhere.com/zh/photo/1550187
Eb54ZAXuzLPwYdHvAXQH,Chinese soup-filled dumplings (Xiao Long Bao) are in the steamer,FOOD,CHN,2024-07-01T13:40:02Z,https://upload.wikimedia.org/wikipedia/commons/d/d2/Xiao_Long_Bao_by_Junhao%21.jpg
FHaPNP1t3Ft8i3DCNNqu,a plate of Chinese dumplings,FOOD,CHN,2024-07-01T13:40:02Z,https://i0.wp.com/lehleo.com/website/wp-content/uploads/2022/01/1-15.jpg?fit=860%2C483&ssl=1
FZEq9EDLiiekuTy4inw5,a Chinese musician wearing tang suit playing Chinese traditional instrument erhu,DANCE,CHN,2024-07-01T13:40:02Z,https://www.flickr.com/photos/iqremix/20636569369
FcZbwCRseftMXGvJGfX2,a bowl of Chinese stewed spicy lobster,FOOD,CHN,2024-07-01T13:40:02Z,https://cdn.pixabay.com/photo/2019/06/11/04/00/seafood-4265995_1280.jpg
FtfBDHnnvfj1W9pNJtFz,two Chinese men are talking in front of a building,PEOPLE,CHN,2024-07-01T13:40:02Z,https://www.ecnu.edu.cn/__local/2/B0/CA/79E7F8221D1D2F71529FD66B547_78365F0E_17B1A5.jpg?e=.jpg
G3OvPN1skRwt6qXSLHUt,"Chinese Cantonese dim sum in bamboo baskets, including shrimp dumplings, siu mai and steamed chicken claws",FOOD,CHN,2024-07-01T13:40:02Z,https://miro.medium.com/v2/resize:fit:1400/format:webp/1*kORgWDT4PlinGP3e9eMc5g.jpeg
GEjgXIwiSEC5B1P1u4MW,some members are wearing traditional Chinese Han clothing,CLOTH,CHN,2024-07-01T13:40:02Z,https://commons.wikimedia.org/wiki/File:Hanfu_movement.jpg
GWwpdmgG3wc6PpBWb5cK,a clay teapot for Chinese Kongfu tea,TOOLS,CHN,2024-07-01T13:40:02Z,https://yinchenstudio.com/cdn/shop/files/111_301c2711-ee5c-4a07-a69c-32fc68a423d5_1080x.jpg?v=1689423093
GiZUeltu13Hd0uFlN957,"a girl in traditional Chinese Hmong dress with a silver hat on her head, standing in the attics",CLOTH,CHN,2024-07-01T13:40:02Z,https://www.istockphoto.com/photo/tujia-nationality-women-in-traditional-clothes-enshi-city-china-gm1334406921-416537316?phrase=tujia&searchscope=image%2Cfilm
H646gksRtOTMvAnPp5A5,a wood table full of Chinese homemade dishes and soup,FOOD,CHN,2024-07-01T13:40:02Z,"https://gimg2.baidu.com/image_search/src=http%3A%2F%2Fsafe-img.xhscdn.com%2Fbw%2Fc52bb020-78b3-4374-b916-37635034fb03%3FimageView2%2F2%2Fw%2F1080%2Fformat%2Fjpg&refer=http%3A%2F%2Fsafe-img.xhscdn.com&app=2002&size=f9999,10000&q=a80&n=0&g=0n&fmt=auto?sec=1699844050&t=83dd7973a7d0438c606bfe8b0ef1b820"
H6lFB9EBAWUHiyPVjNjv,a Chinese traditional Buddhist temple buidling,ARCH,CHN,2024-07-01T13:40:02Z,https://www.worldhistory.org/img/r/p/1500x1500/4980.jpg.webp?v=1668435963
HXnz4mXu1a4boIpUcMXw,Chinese steamed dumplings in a bamboo steamer basket,FOOD,CHN,2024-07-01T13:40:02Z,https://mouthbysouthwest.com/wp-content/uploads/2020/06/KungfuRamen061720.jpg
IDE9moQ8ay3jmpbhkqzK,some women dressed in traditional Han Chinese long dresses and holding round hand fans,CLOTH,CHN,2024-07-01T13:40:02Z,https://www.newhanfu.com/wp-content/uploads/2021/09/When-Generation-Z-Meets-Hanfu-What-Are-the-Implications-of-This-Cultural-Craze-1.jpg
IQBAF05pbcPehYvrGXky,Chinese boy and girl making lego blocks,PEOPLE,CHN,2024-07-01T13:40:02Z,https://image.f600cy.com/images/2021/9/1631092562.jpg
J2qxVQGqNxVyxBD05QwK,a cobblestone country road flanked by Chinese style houses,CITIES,CHN,2024-07-01T13:40:02Z,https://www.istockphoto.com/photo/traditional-chinese-village-in-yunnan-province-gm1147127064-309328598?phrase=chinese+village&searchscope=image%2Cfilm
J3xUGagAEeiNNViShlqO,Chinese mountains and river in a sunny day,NATUR,CHN,2024-07-01T13:40:02Z,"https://img2.baidu.com/it/u=1432359137,2853939752&fm=253&fmt=auto&app=120&f=JPEG?w=1200&h=800"
JAiJxCxBP0t0dMtW78tf,two girls are taking pictures using camera,PEOPLE,CHN,2024-07-01T13:40:02Z,https://pxhere.com/zh/photo/566368
JOHAPv1PGuqjkNQE156n,Some Chinese people are filling out forms in university,PEOPLE,CHN,2024-07-01T13:40:02Z,https://www.ecnu.edu.cn/__local/C/5E/39/78F40A8E7A00791352FD29AB6C8_510D53B2_198CF3.jpg?e=.jpg
JVO50nBencCGsLkYfyNF,a group of old people playing on Chinese traditional instruments,DANCE,CHN,2024-07-01T13:40:02Z,https://upload.wikimedia.org/wikipedia/commons/0/0a/2Erhu%2BYueqin.JPG
Jyy1lk6qbWDq9K0FDxDM,cars parked in a Chinese residential neighborhood and Chinese apartment buildings,ARCH,CHN,2024-07-01T13:40:02Z,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Anshan_Sicun_Di%27er_Xiaoqu.JPG/1024px-Anshan_Sicun_Di%27er_Xiaoqu.JPG
