category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
ARCH,CHN,https://cdn.theatlantic.com/media/img/photo/2012/11/chinese-architecture-old-and-new/c01_10906295/main_1200.jpg,2024-08-10T12:57:19.338584,A city with tall buildings made of glass and concrete.,0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://www.coolkidfacts.com/wp-content/uploads/2018/07/ancient-chinese-architecture-738x1024.jpg,2024-08-10T12:57:19.338584,"A tall, multi-tiered structure with a pointed top and many eaves sits amidst flowering trees.",0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://magnifissance.com/wp-content/uploads/2022/02/Traditional-Chinese-Architecture_1690113154V2.jpg,2024-08-10T12:57:19.338584,The upper corner of a building with a complex layered roof.,0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://miro.medium.com/v2/resize:fit:1400/1*GSU6DBKJu17WwYwIDgpz6w.png,2024-08-10T12:57:19.338584,"A multi-level, tiered structure with a pointed roof.",0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://images.chinahighlights.com/allpicture/2021/01/0da3194b1d7948aba18d28e4_cut_800x500_10.jpg,2024-08-10T12:57:19.338584,Several multi-level buildings with snow-covered roofs.,0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://worldhistoryconnected.press.uillinois.edu/9.2/images/croizer_fig09b.jpg,2024-08-10T12:57:19.338584,"A tall, angular building with a large, open space in the middle stands on a flat surface.",0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://www.thoughtco.com/thmb/V0oZZT-8miLEaLHFtT9o9ljT3lQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Beijing-NationalGrandTheater02-1500-5a8b07b204d1cf00369fbd6d.jpg,2024-08-10T12:57:19.338584,"A large, domed building with a reflective surface is reflected in a calm body of water.",0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://static.dezeen.com/uploads/2021/11/open-architecture-chapel-of-sound-beijing-sq2-852x852.jpg,2024-08-10T12:57:19.338584,"A person is playing a string instrument on a stage in a dark, cave-like structure.",0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://www.globaltimes.cn/Portals/0/attachment/2023/2023-02-02/88fc356d-262f-4456-a8d7-b7368c8b0976.jpeg,2024-08-10T12:57:19.338584,"A large, red, multi-level structure stands in front of a city with tall buildings.",0,0,0,0,0,,2024-08-11T16:14:37.371426
ARCH,CHN,https://www.historyforkids.net/wp-content/uploads/2023/07/ancient-chinese-architecture.png?ezimgfmt=rs:391x391/rscb1/ngcb1/notWebP,2024-08-10T12:57:19.338584,A large city with many buildings and a bridge over a waterway.,0,0,0,0,0,,2024-08-11T16:14:37.371426
