category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
TOOLS,KOR,https://ling-app.com/wp-content/uploads/2021/11/10-Useful-Korean-Kitchen-Utensils-For-Beginners-9-1.jpg,2024-07-02T13:09:08.171611,"A bowl of soup with various vegetables and white squares in it, placed on a wood surface.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://s.alicdn.com/@sc04/kf/H9708c553ae7e495dbc68698c5f37c5d7S.jpg_300x300.jpg,2024-07-02T13:09:08.171611,A collection of various tools for preparing and serving food are arranged in a semi-circle.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://ling-app.com/wp-content/uploads/2021/11/10-Useful-Korean-Kitchen-Utensils-For-Beginners-14-1.jpg,2024-07-02T13:09:08.171611,"Metal tongs are holding pieces of meat over a hot, round surface.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://image.made-in-china.com/2f0j00yWtopzFUvakf/Wholesale-Korean-Unique-Sustainable-Baking-Tool-Accessories-Wooden-Handle-Kitchen-Stuff-Non-Stick-Silicone-Kitchen-Utensil-Set.webp,2024-07-02T13:09:08.171611,Several sets of utensils are organized in containers next to a group of utensils spread out on a surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://ling-app.com/wp-content/uploads/2021/11/10-Useful-Korean-Kitchen-Utensils-For-Beginners-6-1.jpg,2024-07-02T13:09:08.171611,A black pot sits on a wooden surface surrounded by various vegetables and kitchen utensils.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i.etsystatic.com/13285936/r/il/8a6a56/3264662235/il_570xN.3264662235_d2xw.jpg,2024-07-02T13:09:08.171611,"Four long, thin utensils lie on a wooden surface.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i0.wp.com/korean-products.com/wp-content/uploads/2014/08/1408c06.jpg?ssl=1,2024-07-02T13:09:08.171611,There are five pots of different colors on a table in front of a kitchen counter.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,"https://m.media-amazon.com/images/I/51yTeBY+swL._AC_UF894,1000_QL80_.jpg",2024-07-02T13:09:08.171611,Eight pairs of scissors with curved blades and red handles are arranged in three rows.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/b12b8954269d44ea3334ee74b4a47fe8.jpg?imageMogr2/auto-orient%7CimageView2/2/w/800/q/70/format/webp,2024-07-02T13:09:08.171611,A set of kitchen utensils with wooden handles.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i.ebayimg.com/images/g/wEAAAOSw66hjsM-p/s-l1600.jpg,2024-07-02T13:09:08.171611,Three metal cooking utensils with long handles.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://s.alicdn.com/@sc04/kf/H6a965197263045769c76eb1b4cfa6da92.jpg_720x720q50.jpg,2024-07-02T13:09:08.171611,Four different-sized utensils with rounded edges are lined up.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://lh6.googleusercontent.com/proxy/Qku756C-39MDJSfwhqshraZgQDK6odfq_ZSdqQmKuul_sLDp5v6_H49SgYbHBfbhrtbSi8b5WLC3IMUwWBrG_xu5Dz-rkMg,2024-07-02T13:09:08.171611,Several round metal objects are lying on a textured surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://m.media-amazon.com/images/I/614iuXH7yhL.jpg,2024-07-02T13:09:08.171611,"Five long, thin, brown utensils are lined up against a white background.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://ae01.alicdn.com/kf/Se2b2a7e411b740279f242c89a0bf6a88m.jpg_640x640Q90.jpg_.webp,2024-07-02T13:09:08.171611,A collection of kitchen utensils organized in a metal stand.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://ling-app.com/wp-content/uploads/2021/11/10-Useful-Korean-Kitchen-Utensils-For-Beginners-4-1.jpg,2024-07-02T13:09:08.171611,A white appliance with a grey band sits on a brown surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://cdnb.artstation.com/p/assets/images/images/033/692/333/large/lilian-martins-utensilios-coreanos-hdri-4k.jpg?1610328157,2024-07-02T13:09:08.171611,A collection of various cooking and eating utensils is laid out on a surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://www.allrecipes.com/thmb/l42ngRpf1FyhcSaIYspsZV-j5_M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/best-woks-a1ad26f508fa4f99ab246c2cbe6341b1.png,2024-07-02T13:09:08.171611,"A black, round cooking utensil with a handle is pictured against a colorful background.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://cdn.shopify.com/s/files/1/2995/2038/files/Headline-Cover-2_2048x2048.jpg?v=1661824684,2024-07-02T13:09:08.171611,"Two hands are holding a long, narrow, wooden object.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,"https://m.media-amazon.com/images/I/51Rd4SufFRL._AC_UF350,350_QL80_.jpg",2024-07-02T13:09:08.171611,Three pairs of red handled scissors with curved blades are arranged in a row.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://ae01.alicdn.com/kf/S9d3f549fab6e40a78477fa0be15b2a17f.jpg_640x640Q90.jpg_.webp,2024-07-02T13:09:08.171611,Four wooden utensils with black handles hang on a white surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://s.alicdn.com/@sc04/kf/Ha88e2225419a4dd1b9ce2c25d93dda216.jpg_300x300.jpg,2024-07-02T13:09:08.171611,A set of various kitchen tools made of wood and metal are displayed on a white surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i.etsystatic.com/13285936/r/il/847b81/5965717833/il_fullxfull.5965717833_94rl.jpg,2024-07-02T13:09:08.171611,Five metal utensils hang from a metal bar on a wall.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,"https://m.media-amazon.com/images/I/41DI8ePnrJL._AC_UF894,1000_QL80_.jpg",2024-07-02T13:09:08.171611,"A shiny, silver spoon with a rounded bowl and a long, curved handle.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://lzd-img-global.slatic.net/g/p/a78a92a8231d1935ddee48577cdbbd07.jpg_360x360q75.jpg_.webp,2024-07-02T13:09:08.171611,Six different utensils hang from a rack.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://images.slurrp.com/prod/rich_article/dg2ybb3qozt.webp?impolicy=slurrp-20210601&width=880&height=500,2024-07-02T13:09:08.171611,A dark bowl with a white and red mixture inside sits on a wooden surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://www.allrecipes.com/thmb/qN4Jh5mQ_v6jW2d44VBi9nr-goE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/paleo_korean-beef-bowl_allrecipes-2000-68f10f52814d4852bb3d575b651f28c8.jpg,2024-07-02T13:09:08.171611,"A bowl of food with various ingredients including meat, vegetables, and an egg.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdARHGTyHzhvPF9EdCy8gT8PIFlQz-onr9YQ&s,2024-07-02T13:09:08.171611,A variety of kitchen utensils are arranged on a patterned surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://m.media-amazon.com/images/I/41DI8ePnrJL.jpg,2024-07-02T13:09:08.171611,"A shiny, curved utensil with a handle.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://s.alicdn.com/@sc04/kf/Hebff79b2d5ff46678e5a8b425bddd00fz.jpg_300x300.jpg,2024-07-02T13:09:08.171611,A set of eight kitchen utensils with long handles are arranged on a white surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://p.globalsources.com/IMAGES/PDT/S1214273021/silicone-chopsticks-spoon.jpg,2024-07-02T13:09:08.171611,A tray holds eight spoons of varying colors and patterns.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i.ebayimg.com/images/g/LB4AAOSwxcFj5SZg/s-l400.jpg,2024-07-02T13:09:08.171611,Four long handled kitchen utensils with various functions.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://img.lazcdn.com/g/p/23b77d2eafbae0648dc8c0720487ceb0.jpg_960x960q80.jpg_.webp,2024-07-02T13:09:08.171611,Various kitchen utensils are placed in a row on a white countertop.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://img.ws.mms.shopee.ph/ph-11134207-7r98v-lrquk3r8rdv9a5,2024-07-02T13:09:08.171611,Five metal cooking utensils with wooden handles are spread out on a surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://ling-app.com/wp-content/uploads/2021/11/10-Useful-Korean-Kitchen-Utensils-For-Beginners-2-1.jpg,2024-07-02T13:09:08.171611,A round cooking pan lays on top of a patterned cloth on a wooden surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://m.media-amazon.com/images/I/6146aRc8+HL.jpg,2024-07-02T13:09:08.171611,A set of shiny silver utensils and molds are placed on a white surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://img.kwcdn.com/product/1d18fce2328/afec9679-56ea-4c6e-ab18-0151695df32f_800x800.jpeg?imageView2/2/w/375/q/50/format/webp,2024-07-02T13:09:08.171611,A set of six kitchen utensils with wooden handles are stored in a grey cylindrical container.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://p.globalsources.com/IMAGES/PDT/S1193436067/kitchen-utensils.jpg,2024-07-02T13:09:08.171611,Six utensils with different shapes and colorful handles are arranged on a flat surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i.ebayimg.com/images/g/UAAAAOSwodZjUKxk/s-l1600.jpg,2024-07-02T13:09:08.171611,"A two-pronged, long, silver utensil with a brown handle.",0,0,0,0,0,,2024-08-11T16:14:18.633861
TOOLS,KOR,https://i.etsystatic.com/35236224/r/il/730bed/5860178685/il_fullxfull.5860178685_t1if.jpg,2024-07-02T13:09:08.171611,Four metal utensils with long handles are displayed on a brown surface.,0,0,0,0,0,,2024-08-11T16:14:18.633861
