category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CITIES,IND,"https://res.cloudinary.com/djcyhbk2e/image/upload/c_fit,f_auto,h_800,q_35,w_800/v1/gvv/prod/vi0vhxuox4g7pghrpiei",2024-08-10T11:29:29.554577,A densely populated urban area with a mix of residential and commercial buildings.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/BackBay_skyline.jpg/640px-BackBay_skyline.jpg,2024-08-10T11:29:29.554577,A skyline of tall buildings with a body of water in the foreground.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://discovery.sndimg.com/content/dam/images/discovery/fullset/2021/2/17/mumbai/GettyImages-536114306.jpg.rend.hgtvcom.616.308.suffix/1613598623604.jpeg,2024-08-10T11:29:29.554577,A large city with many buildings and lights at night.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://t3.ftcdn.net/jpg/05/15/64/00/360_F_515640060_7qE38amELkFCBuN41P6rOXlTA1XkPSiF.jpg,2024-08-10T11:29:29.554577,Many tall buildings are illuminated by artificial lights in a city at dusk.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://ichef.bbci.co.uk/images/ic/480xn/p052348h.jpg.webp,2024-08-10T11:29:29.554577,"A dense cityscape with various tall buildings, both tall and short.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://t3.ftcdn.net/jpg/05/79/64/14/360_F_579641470_CA5QomtHJKv9qZQaCSCdNwHmFZBVIDrN.jpg,2024-08-10T11:29:29.554577,A city skyline with many tall buildings at night.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://u4d2z7k9.rocketcdn.me/wp-content/uploads/2022/03/Untitled-1024-%C3%97-768px-2-1.jpg,2024-08-10T11:29:29.554577,An aerial view of a large city with many buildings and roads.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQshj8N2AaY6_N19_wh0JrTT8kLxfXKPA5F6Q&s,2024-08-10T11:29:29.554577,"A coastal city with a large number of buildings, including tall skyscrapers, is situated along a long, curving road that runs parallel to the sea.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://img.traveltriangle.com/blog/wp-content/uploads/2017/12/shutterstock_702408349.jpg,2024-08-10T11:29:29.554577,A bridge with lights stretches across a body of water toward a city skyline.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3kviRIh8RufNPCmziKwikJIsZbgfUlid57A&s,2024-08-10T11:29:29.554577,"Many tall buildings stand lit up against a dark sky, with a body of water reflecting their lights in the foreground.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://www.dailypioneer.com/uploads/2020/story/images/big/4-indian-cities-slip-in-global-smart-city-rankings-2020-09-18.jpg,2024-08-10T11:29:29.554577,A city skyline at night with many tall buildings lit up.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://media.istockphoto.com/id/1382384282/photo/bangalore-or-bengaluru.jpg?s=612x612&w=0&k=20&c=6pxwL3JxNV2B_NZSLMZLhrSLqAbyCPlGuSZYKImpjKQ=,2024-08-10T11:29:29.554577,A city with many tall buildings and a lot of green vegetation.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://www.brookings.edu/wp-content/uploads/2015/12/india_smartcity002.jpg?quality=75,2024-08-10T11:29:29.554577,"A cityscape with many tall buildings at night, lit up by street lights.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://www.holidify.com/images/cmsuploads/compressed/night-time-cityscape-in-mumbai-india_20200409130850.jpg,2024-08-10T11:29:29.554577,"An aerial view of a densely populated city at night, illuminated by streetlights and windows.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://www.eurasiareview.com/wp-content/uploads/2020/08/c-119.jpg,2024-08-10T11:29:29.554577,A large collection of densely packed structures sits in front of a skyline of taller structures.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://homebazaar-blog.s3.ap-south-1.amazonaws.com/knowledge/wp-content/uploads/2022/12/09132246/feature-image-Fastest-Growing-Cities-In-India-2022-732x375.jpg,2024-08-10T11:29:29.554577,Several tall buildings under construction are surrounded by other buildings of varying heights.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://housing.com/news/wp-content/uploads/2023/07/What-are-Tier-1-cities-in-India-f.jpg,2024-08-10T11:29:29.554577,A large city with many tall buildings sits along the edge of a body of water.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,"https://assets.gqindia.com/photos/6001988e1aeba202281b1955/16:9/w_1280,c_limit/most-expensive-cities.jpg",2024-08-10T11:29:29.554577,"A long, straight road with buildings and greenery on both sides, a bridge spanning the road with a train on it.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHwwB56H0KTTXdvX6VtPKgsL05iA3HZGVn3w&s,2024-08-10T11:29:29.554577,"An aerial view shows a city with tall buildings, a body of water surrounded by trees, and a parking lot.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSySYStPp1yWKLpn8VfJdGMZo-KU4J6YTzk5Q&s,2024-08-10T11:29:29.554577,A densely populated urban area with tall buildings is illuminated by the setting sun.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://t3.ftcdn.net/jpg/04/53/31/70/360_F_453317039_vgYyunvq6lALcAzte0pkE5Hz5gRGsPJr.jpg,2024-08-10T11:29:29.554577,"An aerial view of a city with many tall buildings, surrounded by greenery and roads.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://emap-romulus-prod.s3.eu-west-1.amazonaws.com/wp-content/uploads/sites/12/2016/05/The-Brahman-Blue-City_313802663.jpg,2024-08-10T11:29:29.554577,"A dense urban area with many buildings clustered together, some of which are painted blue.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://media.licdn.com/dms/image/D5612AQH7cYsTvSTPPQ/article-cover_image-shrink_720_1280/0/1712561197464?e=2147483647&v=beta&t=-wjgpRA1J711sgfmaGiUF-OyVicAeFgG843VB1v_LjI,2024-08-10T11:29:29.554577,A city at night with many tall buildings and illuminated roads.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://www.science.org/do/10.1126/science.adl0080/full/_20230929_nf_climate_india_sunset-1707343472633.jpg,2024-08-10T11:29:29.554577,An aerial view of a city with many buildings during sunset.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://mygate.com/wp-content/uploads/2024/03/21.png,2024-08-10T11:29:29.554577,"An empty, paved surface is in front of a densely packed city with tall buildings at night.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3Qi4Umf6FLTpc4Ktg0cWpXDC0CHFn9PAtsw&s,2024-08-10T11:29:29.554577,"A large, elevated structure under construction intersects with a busy road in a city with many buildings and trees.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://www.holidify.com/images/cmsuploads/compressed/mumbainightlife_20181127165211.jpg,2024-08-10T11:29:29.554577,A large city at night with many lights and a road with moving vehicles.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://img.staticmb.com/mbcontent/images/crop/uploads/2023/1/Most-livable-City-in-India-Bangalore_0_1200.jpg,2024-08-10T11:29:29.554577,"A vast urban sprawl with illuminated buildings and a winding road, all under a twilight sky.",0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://miro.medium.com/v2/resize:fit:1400/0*zB8YEaM7k_7DZRq-.jpg,2024-08-10T11:29:29.554577,An aerial view of a densely populated urban area with a grid-like street pattern.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://t3.ftcdn.net/jpg/00/53/55/72/360_F_53557205_UtYHI3bdq2I0gNxHL92p6KkLMmiXKH8e.jpg,2024-08-10T11:29:29.554577,A city with many tall buildings and a large population density.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,"https://img.etimg.com/thumb/msid-60512775,width-640,height-480,imgsize-422624,resizemode-4/living-a-stressful-life.jpg",2024-08-10T11:29:29.554577,A densely populated urban area with numerous buildings of various sizes and styles.,0,0,0,0,0,,2024-08-11T16:18:08.441557
CITIES,IND,https://images.news18.com/ibnlive/uploads/2021/11/delhi-cityscape-16360076584x3.png?impolicy=website&width=640&height=480,2024-08-10T11:29:29.554577,A nighttime view of a densely populated city with tall buildings and illuminated streets.,0,0,0,0,0,,2024-08-11T16:18:08.441557
