category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
FOOD,MEX,https://www.bestattravel.co.uk/the-edit/wp-content/uploads/2021/03/Mexico-Food-Drink.jpg,2024-08-10T04:10:42.082010,A variety of dishes are spread out on a wooden surface.,0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://d1ioghyrwc6upe.cloudfront.net/cdn/ff/jI4FBkj1Rwffwpon66TmpRAVk78uQrstgTFJOKMFJ1I/1701149828/public/inline-images/shutterstock_423022279-e1582778056712.jpg,2024-08-10T04:10:42.082010,A plate with various foods arranged in a circular pattern.,0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD0afzKPaYoJraLGX6ZW16dkWJ9C14gL8VUg&s,2024-08-10T04:10:42.082010,"A round, flat bread topped with an egg, red peppers, and herbs.",0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://www.facts-about-mexico.com/wp-content/uploads/2022/01/Pixabay-Don-Marciano-1024x768.jpg,2024-08-10T04:10:42.082010,"Three folded pastries are filled with meat, white pieces, and green sprigs.",0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://www.savoredjourneys.com/wp-content/uploads/2016/02/elote.jpg,2024-08-10T04:10:42.082010,A plate of corn on the cob with a white powder on top and a slice of citrus fruit.,0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://s.yimg.com/ny/api/res/1.2/n0ztimTi_uzfr._hVDiIsA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTQyMg--/https://s.yimg.com/os/creatr-uploaded-images/2022-10/510c95e0-4e21-11ed-bbf5-4cc5cb1a489a,2024-08-10T04:10:42.082010,Two open-faced sandwiches and a glass of juice are arranged on a table with a plate of food next to them.,0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://i2-prod.manchestereveningnews.co.uk/incoming/article15280822.ece/ALTERNATES/s615/0_Five-traditional-Mexican-dishes-you-might-not-have-tried-and-where-to-find-them-in-Manchester.jpg,2024-08-10T04:10:42.082010,"A wooden table is set with food and drinks, including flatbreads topped with ingredients, and beverages in glasses.",0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://www.mashed.com/img/gallery/mexican-foods-you-need-to-try-before-you-die/intro-1585677665.jpg,2024-08-10T04:10:42.082010,"A table is set with various foods, including dips, tortillas, and chips.",0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://images.immediate.co.uk/production/volatile/sites/30/2022/06/Top-10-foods-to-try-in-Mexico-c560a97.jpg,2024-08-10T04:10:42.082010,"Three filled tortillas with various toppings are presented on a plate with sides of cut fruit, vegetables, and a wedge of citrus.",0,0,0,0,0,,2024-08-11T16:20:38.782623
FOOD,MEX,https://media-cdn.tripadvisor.com/media/photo-s/21/5f/0d/50/mexican-food-and-drinks.jpg,2024-08-10T04:10:42.082010,"A wooden table with two glasses of liquid, a bowl of chips with toppings, and a bowl of food with green, red, and white components.",0,0,0,0,0,,2024-08-11T16:20:38.782623
