category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
FOOD,IND,"https://res.cloudinary.com/hz3gmuqw6/image/upload/c_fill,h_450,q_auto,w_710/f_auto/tk-traditional-indian-foods-to-taste-in-2022-phpEXAXNS",2024-08-10T12:03:07.322411,A table is set with various bowls and plates containing different types of food.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://qph.cf2.quoracdn.net/main-qimg-9159e28b78b9834ed173309447860692-lq,2024-08-10T12:03:07.322411,"Multiple plates of food, including various vegetables, grains, and meats, are arranged on a patterned surface.",0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://worldoffoodanddrink.worldtravelguide.net/wp-content/uploads/2019/03/shu-Food-to-try-in-Mumbai-796385446-1440x823.jpg,2024-08-10T12:03:07.322411,Many small bowls of food are arranged on a wooden surface.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://insanelygoodrecipes.com/wp-content/uploads/2021/10/Indian-Mango-Lassi-with-Fresh-Mangoes.jpg,2024-08-10T12:03:07.322411,A glass of yellow liquid sits next to a pile of yellow fruit and a small dish of yellow powder.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://www.matchingfoodandwine.com/siteimages/Food-pix/samosas-and-bhajis.jpg,2024-08-10T12:03:07.322411,A plate of fried foods and dipping sauces are on a table.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://kohinoor-joy.com/wp-content/uploads/2018/03/drinks.jpg,2024-08-10T12:03:07.322411,Two bowls of a light-colored creamy drink with green and red pieces are on a plate with red flower petals.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://foodandroad.com/wp-content/uploads/2021/04/jaljeera-indian-drink-2.jpg,2024-08-10T12:03:07.322411,"Two glasses of green beverage with white orbs, surrounded by leaves and a slice of citrus fruit.",0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://media.tacdn.com/media/attractions-content--1x-1/10/62/98/0a.jpg,2024-08-10T12:03:07.322411,"A person is holding a plate of food with a variety of ingredients, including noodles, vegetables, and chips.",0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://i.ndtvimg.com/i/2017-06/drinks_650x400_71497607611.jpg,2024-08-10T12:03:07.322411,"A glass filled with a smooth, yellow liquid with tiny specks on top.",0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://foodandroad.com/wp-content/uploads/2021/04/masala-chaas-indian-drink-1-1024x683.jpg,2024-08-10T12:03:07.322411,A hand holds a metal cup filled with a white liquid containing green leaves.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://www.traveltalktours.com/wp-content/uploads/2022/07/tiago-rosado-Xl8vnC9U4EE-unsplash-1024x683.jpg,2024-08-10T12:03:07.322411,Two clay cups filled with a creamy beverage are being held in front of a blurry background.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://img.etimg.com/photo/102800838/102800838.jpg,2024-08-10T12:03:07.322411,"A table is set with a variety of bowls containing different types of food, including stews, sauces, and vegetables, accompanied by flatbreads and two mugs of hot beverage.",0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://www.wine4food.com/wp-content/uploads/2019/01/bigstock-Selection-of-Indian-food-inclu-12014759.jpg,2024-08-10T12:03:07.322411,A table with multiple small bowls filled with food and flatbread.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,"https://res.cloudinary.com/rainforest-cruises/images/c_fill,g_auto/f_auto,q_auto/v1661347434/india-food-chicken-pakora/india-food-chicken-pakora.jpg",2024-08-10T12:03:07.322411,Fried meat with a red sauce on a white board.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://mallikabasu.com/wp-content/themes/winston-mo/images/placeholder_image.jpg,2024-08-10T12:03:07.322411,"A person is arranging food on a plate, with other dishes arranged around it.",0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://img.grouponcdn.com/bynder/3qh8bdDzA4Y3odvntvJEU22xmhhc/3q-2048x1229/v1/t600x362.jpg,2024-08-10T12:03:07.322411,Various dishes of food are arranged on a black surface.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,https://tradebrains.in/wp-content/uploads/2022/08/Top-Food-and-Beverage-Stocks-in-India-Cover-Image.jpg,2024-08-10T12:03:07.322411,A variety of foods and a dark beverage are displayed on a wooden surface.,0,0,0,0,0,,2024-08-11T16:18:30.709842
FOOD,IND,"https://res.cloudinary.com/rainforest-cruises/images/c_fill,g_auto/f_auto,q_auto/v1661887113/indian-food/indian-food.jpg",2024-08-10T12:03:07.322411,A blue bowl holds several round food items covered in white sauce and various toppings.,0,0,0,0,0,,2024-08-11T16:18:30.709842
