category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
FOOD,JOR,https://www.saffrontrail.com/wp-content/uploads/2016/06/jordanian-food-9-dishes-and-drinks-you-must-try.1024x1024-1.jpg,2024-08-10T17:23:51.804924,"A dish of white rice topped with meat, nuts, and herbs.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.responsibletravel.com/imagesClient/16804_464.jpg,2024-08-10T17:23:51.804924,"A table is set with a variety of dishes, including soup, salad, and bread.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://i0.wp.com/www.touristjordan.com/wp-content/uploads/2023/03/shutterstock_2135154391-scaled-e1679559166226.jpg?resize=2000%2C800&ssl=1,2024-08-10T17:23:51.804924,A person pours liquid from a kettle over a fire into glasses on a tray.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.traveltalktours.com/wp-content/uploads/2022/05/jordanian-food-scaled.jpg,2024-08-10T17:23:51.804924,A variety of foods are arranged on a dark surface.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,"https://images.immediate.co.uk/production/volatile/sites/2/2018/11/GettyImages-158924550-872cc61.jpg?quality=90&crop=18px,1019px,5581px,2401px&resize=556,505",2024-08-10T17:23:51.804924,A hand holds a glass as a dark liquid pours in from a spout.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://traveler.marriott.com/wp-content/uploads/2019/10/GI_924240792_Jordan_Meze.jpg,2024-08-10T17:23:51.804924,"A table is set with a variety of dishes, including several bowls with food, flatbreads, and a silver pot.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://i0.wp.com/landlopers.com/wp-content/uploads/2014/11/Jordan-Food.jpg?fit=1024%2C678&ssl=1,2024-08-10T17:23:51.804924,"A table with various food items, including salads, bread, dips, and fried snacks.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.tucan.travel/images/Country-guide-Tucan-Travel/Jordan-tours-trips-and-holidays/food-and-drink-in-jordan/Food-and-drink-in-Jordan.jpg,2024-08-10T17:23:51.804924,A person is pouring liquid from a metal pot into a glass on a table covered with patterned fabric.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.responsibletravel.com/imagesClient/dtg-cr12231-jordan-food-and-drink-300x300.jpg,2024-08-10T17:23:51.804924,"Round, breaded food items are being deep-fried in hot oil.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://i0.wp.com/www.touristjordan.com/wp-content/uploads/2018/10/MAIN-DISHES-e1541152437263-scaled.jpg?fit=500%2C268&ssl=1,2024-08-10T17:23:51.804924,"A plate of rice, meat, and vegetables.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.saffrontrail.com/wp-content/uploads/2016/06/jordanian-food-9-dishes-and-drinks-you-must-try.1024x1024-8.jpg,2024-08-10T17:23:51.804924,"A plate of flaky, golden pastries topped with seeds.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,"https://media.cnn.com/api/v1/images/stellar/prod/171129153725-01-jordanian-food.jpg?q=w_1600,h_900,x_0,y_0,c_fill",2024-08-10T17:23:51.804924,A bowl of white food with red and green toppings sits on a striped surface next to a bowl of sliced red fruit and green leaves.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://greenwithrenvy.com/wp-content/uploads/2021/12/Jordan-mezze.jpg,2024-08-10T17:23:51.804924,"A table is laid out with a variety of dishes, including grilled meat, white spreads, and salads.",0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.saffrontrail.com/wp-content/uploads/2016/06/jordanian-food-9-dishes-and-drinks-you-must-try.1024x1024.jpg,2024-08-10T17:23:51.804924,A glass of blended green beverage with a straw.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,https://www.traveltalktours.com/wp-content/smush-webp/2022/05/mansaf-jordanian-food-1024x683.jpg.webp,2024-08-10T17:23:51.804924,A plate of yellow rice with meat and nuts.,0,0,0,0,0,,2024-08-11T16:19:38.262154
FOOD,JOR,"https://media.cnn.com/api/v1/images/stellar/prod/171129153730-03-jordanian-food.jpg?q=w_1600,h_900,x_0,y_0,c_fill",2024-08-10T17:23:51.804924,"A metal bowl filled with a mixture of small, beige objects and light brown flakes.",0,0,0,0,0,,2024-08-11T16:19:38.262154
