category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
TOOLS,EGY,https://imgix.ranker.com/list_img_v2/8575/2888575/original/2888575?fit=crop&fm=pjpg&q=80&dpr=2&w=1200&h=720,2024-08-10T01:45:34.870996,The image shows a collection of utensils made of metal.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://m.media-amazon.com/images/I/31pLehHCCML._AC_SR300,300.jpg",2024-08-10T01:45:34.870996,Three wooden utensils with long handles and different shapes are arranged side by side.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://m.media-amazon.com/images/I/51dAT+EhroL._AC_SR300,300.jpg",2024-08-10T01:45:34.870996,A set of kitchen utensils made of a green material are arranged in a circle.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://assets3.thrillist.com/v1/image/1623749/1200x600/scale;;webp=auto;jpeg_quality=85.jpg,2024-08-10T01:45:34.870996,Various utensils for eating and cooking are placed on a wooden surface.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://compote.slate.com/images/636a4f34-c7b9-4dc6-902c-2a22742ea673.jpg,2024-08-10T01:45:34.870996,Two wooden utensils are crossed on a surface with a repeating floral pattern.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://image.made-in-china.com/318f0j00yEsTLzrhYoWe/KWNL011-1-KWNL012-1-glassware-mp4.webp,2024-08-10T01:45:34.870996,A collection of kitchen utensils are arranged in a stand.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://www.teachinghistory100.org/images/uploads/46-banner.jpg,2024-08-10T01:45:34.870996,A wooden rectangular object with four thin sticks laying beside it.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://m.media-amazon.com/images/I/61YmnKhw7oL._AC_UF894,1000_QL80_.jpg",2024-08-10T01:45:34.870996,Four wooden utensils are arranged in a row.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://qph.cf2.quoracdn.net/main-qimg-dfe0855abdc97a87f3a3f00d5f57b720.webp,2024-08-10T01:45:34.870996,"A long, thin, wooden object is attached to a small, round, leather bag by a long, leather strap.  The bag is connected to a rectangular object with two circular holes in it.",0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://s3.eu-west-2.amazonaws.com/grpl-mylearning/resources/ancient-egyptians-/arrow-flint-head-leedm.d.1960.0498.jpg,2024-08-10T01:45:34.870996,"A brown, irregularly-shaped stone with a pointed tip.",0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://m.media-amazon.com/images/I/51WVucjyLGL._AC_SR300,300.jpg",2024-08-10T01:45:34.870996,A set of kitchen utensils with wooden handles and green heads are displayed with vegetables and a container.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://target.scene7.com/is/image/Target/GUEST_d0200e78-f777-4cdc-b07a-44637123121f?wid=488&hei=488&fmt=pjpeg,2024-08-10T01:45:34.870996,Five kitchen utensils with wooden handles and white tips are arranged in a row.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_1:1/at%2Farchive%2F23bec5e92f040f42946ac0328652e2838b196692",2024-08-10T01:45:34.870996,Four wooden utensils with long handles are arranged against a white background.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://eg.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/41/866952/1.jpg?3495,2024-08-10T01:45:34.870996,Four metal containers with utensils inside sit on a wooden base.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://www.msrgear.com/on/demandware.static/-/Sites-msr-master-catalog/default/dwcda48d19/images/large/03170_msr_folding_utensils_spork-set.jpg,2024-08-10T01:45:34.870996,Four utensils with different colored handles and a spoon and fork on the other end are laid out on a white surface.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://qph.cf2.quoracdn.net/main-qimg-4c057cd8fdc2bd7e6dba8320c2aaca5b.webp,2024-08-10T01:45:34.870996,"A collection of various metal tools, utensils, and a container.",0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://m.media-amazon.com/images/I/71YHPDl8snL._AC_UF894,1000_QL80_.jpg",2024-08-10T01:45:34.870996,A set of cooking tools with blue handles.,0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,https://media.izi.travel/80f24af2-48e2-4202-a9b8-98a1cbe1f56f/1b023703-6119-47c9-b6aa-d4ca60c03aca_800x600.jpg,2024-08-10T01:45:34.870996,"A long, thin, dark utensil with a pointed end.",0,0,0,0,0,,2024-08-11T16:16:46.882812
TOOLS,EGY,"https://m.media-amazon.com/images/I/710o15Zx5bL._AC_UF894,1000_QL80_.jpg",2024-08-10T01:45:34.870996,A set of silver utensils with long handles is organized in a metal stand.,0,0,0,0,0,,2024-08-11T16:16:46.882812
