category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
ARCH,KOR,https://i.namu.wiki/i/pHnSPBl1WJ12tHblNQk-JlrYy8Vy_xlrKNPX6oQ-vgRaZhRTB28eZvKoy7KYLsahHDgA-HdHnkuEzCdfmdOqnw.webp,2024-07-02T11:04:54.625721,A large building with a stone wall in front of it.,0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://i.namu.wiki/i/siokDjXfHpZkCMMbCFu6wEGa8k5u2DXx-zptPI1MDaV5RAbLaSIRaVLeYYiTjwmH4CYfduSfgM9k6SdQpcrmCA.webp,2024-07-02T11:04:54.625721,A stone pathway and steps lead up to a wooden building surrounded by trees and a pond.,0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxSJWJNURnaEo1qUmjM8aV5icpSbYJTqrvMQ&s,2024-07-02T11:04:54.625721,A wooden structure with a steeply pitched roof stands on pillars over a body of water.,0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://i.namu.wiki/i/j7DA83MyUdLq3UG975yKR-8m2ZzgfzXg8y0fjuXEuIEVpXcExHsgbXg_LrGwiibRAHOn0RbmLNfRbBcJcEb5Nw.webp,2024-07-02T11:04:54.625721,A multi-tiered structure with red pillars sits on a hill covered in snow.,0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://ojsfile.ohmynews.com/STD_IMG_FILE/2015/1229/IE001907992_STD.jpg,2024-07-02T11:04:54.625721,Two multi-level buildings with tiled roofs sit in front of a pond surrounded by rocks and trees.,0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://i.namu.wiki/i/a_NT-i9WQL8R90GSzAdD-cKuybdMO4wC4r-D0c05jGXWxxbnoznOnyGyH2xshLMDpciNqung1uuoGApWYPJgjw.webp,2024-07-02T11:04:54.625721,A building covered in foliage is next to a building with large glass windows.,0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://img.khan.co.kr/news/2020/11/16/l_2020111701001739400157752.jpg,2024-07-02T11:04:54.625721,"A large stone building with multiple levels, surrounded by trees and people walking on stairs.",0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://dimg.donga.com/wps/NEWS/IMAGE/2013/05/29/55482684.1.jpg,2024-07-02T11:04:54.625721,"A large, circular building with a flat roof and many windows.",0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://ojsfile.ohmynews.com/STD_IMG_FILE/2015/1229/IE001907993_STD.jpg,2024-07-02T11:04:54.625721,"A large, multi-level building with a tiled roof sits on a large, flat expanse of ground.",0,0,0,0,0,,2024-08-11T16:10:40.780712
ARCH,KOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD5bS2OfpcpGAaEtelkVCZ-pck2hnN_kIIVw&s,2024-07-02T11:04:54.625721,A traditional wooden building with a tiled roof stands on a stone foundation.,0,0,0,0,0,,2024-08-11T16:10:40.780712
