category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CLOTH,MEX,https://i.etsystatic.com/17150723/r/il/1a0081/4850625976/il_570xN.4850625976_jy3x.jpg,2024-08-10T03:48:48.123311,A woman is wearing a black dress with red and green embroidered flowers.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://m.media-amazon.com/images/I/710zh2Jw+-L._AC_UY1000_.jpg,2024-08-10T03:48:48.123311,A young person is wearing a black dress with lace and colorful stripes.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://m.media-amazon.com/images/I/51ryefMPF5L._AC_UY1000_.jpg,2024-08-10T03:48:48.123311,"A woman is wearing a long, multi-colored dress with a white top.",0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://wildmoonmarketplace.com/cdn/shop/products/IMG_20210318_141903982.jpg?v=1616792773,2024-08-10T03:48:48.123311,A white top and black skirt with colorful floral embroidery.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://media.npr.org/assets/img/2014/06/30/carla_redos_2_custom-4c09278fba4f6558c4c5e3c92956ae0fdca5cd9e.jpg,2024-08-10T03:48:48.123311,"Two women are standing in front of different backgrounds, each wearing a unique dress.",0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://cf.ltkcdn.net/costumes/images/std-xs/250907-340x340-Mexican_skirts.jpg,2024-08-10T03:48:48.123311,Five garments with colorful designs are displayed on mannequins.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://assets.vogue.com/photos/5f04994488c307d9a599d1ac/master/w_2560%2Cc_limit/SOPORTES_-1.jpg,2024-08-10T03:48:48.123311,A person in a black jacket with decorative jewelry is standing in front of a patterned wall.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://i.pinimg.com/originals/31/02/95/310295ae74a91ca70e2013ebec716638.jpg,2024-08-10T03:48:48.123311,A man wearing a large hat and an embellished jacket stands with his arms crossed.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://www.latinxsculturaviva.com/wp-content/uploads/2019/10/OFF-THE-SHOULDER-MEXICAN-GIRL-DRESS-1.jpg,2024-08-10T03:48:48.123311,A red dress with lace trim and embroidered flowers.,0,0,0,0,0,,2024-08-11T16:20:27.239968
CLOTH,MEX,https://cf.ltkcdn.net/costumes/images/std-xs/250924-340x242-Poncho.jpg,2024-08-10T03:48:48.123311,"A person wearing a large, wide-brimmed hat and a colorful, patterned cloak stands in front of tall, spiky plants.",0,0,0,0,0,,2024-08-11T16:20:27.239968
