category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CITIES,MEX,https://static.scientificamerican.com/dam/m/185eb8fe97f8cb1f/original/GettyImages-652822238.jpg?w=600,2024-08-10T03:37:48.318844,A dense urban area with a cluster of tall buildings in the center.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://api.time.com/wp-content/uploads/2023/03/Worlds-Greatest-Places-Mexico-City.jpg,2024-08-10T03:37:48.318844,"A large, paved area surrounded by trees sits in front of a city skyline.",0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXhMqAKOkqVO4m1EeK0brlOM_kV1NWgFoWkQ&s,2024-08-10T03:37:48.318844,A group of people are standing in front of a large building with many domes.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://assets.airtrfx.com/media-em/hhy2/MEXAZ-P0352-Rooftop-Swimming-Pool-Skyline-View-City.jpg,2024-08-10T03:37:48.318844,A swimming pool on a rooftop with a city skyline in the background.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://media.nomadicmatt.com/2022/wheretostaymexico.jpeg,2024-08-10T03:37:48.318844,"An aerial view of a city with many buildings, trees and a large road.",0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Vista_panor%C3%A1mica_del_lago_en_el_Parque_La_Mexicana.jpg/700px-Vista_panor%C3%A1mica_del_lago_en_el_Parque_La_Mexicana.jpg,2024-08-10T03:37:48.318844,"A blue body of water separates a grassy area with tall, rectangular buildings from a paved path.",0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://www.foodandwine.com/thmb/8wMeAopkgXF2IOI1-qbCuRsJwIc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GTM-The-Best-Places-to-Eat-and-Drink-in-Mexico-City-FT-BLOG0423-cbbcc34cc45946d99e2528fdcf69efd7.jpg,2024-08-10T03:37:48.318844,A large monument with a statue on top stands in the middle of a city with tall buildings.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://www.bgs.ac.uk/wp-content/uploads/2022/12/Mexico.jpg,2024-08-10T03:37:48.318844,"An aerial view of a city with many buildings, with mountains in the distance.",0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://two.travel/wp-content/uploads/2024/01/mexico-city-mexico.jpg,2024-08-10T03:37:48.318844,A densely populated city with tall buildings and green spaces.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://www.ccacoalition.org/sites/default/files/styles/header_mobile/public/resources/fields/news_mainimage/03CDMX.jpg.webp?itok=vVMrsyQq,2024-08-10T03:37:48.318844,An aerial view of a city with tall buildings and a large park with trees.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://travel.home.sndimg.com/content/dam/images/travel/stock/2018/2/16/iStock_Zocalo-Square_Mexico-City_622286316_xl.jpg.rend.hgtvcom.1280.960.suffix/1518794349078.jpeg,2024-08-10T03:37:48.318844,"A large, ornate building with towers stands beside a paved road lined with cars and people.",0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://www.whitecase.com/sites/default/files/images/sidebar/2020/06/Mexico%20City_Desktop_800x1280.jpg,2024-08-10T03:37:48.318844,A view from above of a dense urban area with many tall buildings and smaller structures.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTIWo_OXtR7C3JAK6zogri5b6uq4DinFKYfg&s,2024-08-10T03:37:48.318844,A cityscape with many tall buildings and a cloudy sky.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://www.flysanjose.com/sites/default/files/sites/default/files/blog-photos/Mexico-City-Depositphotos_13449494_edited.jpg,2024-08-10T03:37:48.318844,A large building with several towers is in front of a large open space with many people walking.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://virtuoso-prod.dotcms.cloud/dA/25722fff-28ad-4d15-be32-a67b8d1b7c30/headerImage/Mexico-City-Destination-Mobile.jpg,2024-08-10T03:37:48.318844,A large city with many buildings and a large open square.,0,0,0,0,0,,2024-08-11T16:20:17.674500
CITIES,MEX,https://www.businessdestinations.com/wp-content/uploads/2017/08/F011_rt.jpg,2024-08-10T03:37:48.318844,"An aerial view of a circular road with a large monument in the center, surrounded by buildings and trees.",0,0,0,0,0,,2024-08-11T16:20:17.674500
