category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
PEOPLE,FRA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU9KVnNvLw1jAS7InqySRp27tnBITaNbeN5A&s,2024-08-10T02:34:55.839133,"A group of people are gathered in front of a large building, holding blue flags and a banner.",0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://www.iisd.org/sites/default/files/uploads/gilets-jaune.jpg,2024-08-10T02:34:55.839133,A large group of people wearing yellow vests are walking down a paved street.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://ip-quarterly.com/sites/default/files/styles/dgap_content_large/public/IPQ-3-2024_Brussels_Briefing_ONLINE.jpg?itok=1Md8IUmM,2024-08-10T02:34:55.839133,A woman in a pink jacket stands with two men in uniform in front of a seated audience.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://imagedelivery.net/wKQ19LTSBT0ARz08tkssqQ/www.courthousenews.com/2024/07/paris-street-cafe-scene.jpg/w=1880,2024-08-10T02:34:55.839133,"A paved area with people walking and standing, their shadows stretching across the surface.",0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://miro.medium.com/v2/resize:fit:1400/1*mGfzkntjUMw7P9HsRkc8Aw.jpeg,2024-08-10T02:34:55.839133,Six people are standing together in front of a large archway.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://www.hrw.org/sites/default/files/styles/16x9_large/public/media_2023/12/202312eca_france_wr.JPG?h=790be497&itok=fLJ_q91B,2024-08-10T02:34:55.839133,A person with raised hands faces a group of people wearing protective gear.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqDmAQ_8JipfxGqAmeRJkHgNZsS4Y8ge6BPA&s,2024-08-10T02:34:55.839133,"A group of people stand in front of a table with a logo on the wall behind them, while others are taking photographs of them.",0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://images.indianexpress.com/2021/01/AP21023593196929.jpg?w=480,2024-08-10T02:34:55.839133,A person in a red hat and gloves holds a branch while standing near a person holding a shield.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://static.euronews.com/articles/stories/07/44/51/78/1200x675_cmsv2_baf03c34-f5bd-5a1b-b224-0c1aba015d70-7445178.jpg,2024-08-10T02:34:55.839133,A large crowd of people are gathered in a public space.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://covid19.unitedpeople.global/wp-content/uploads/2020/10/IMG_8144-1-1024x576.jpg,2024-08-10T02:34:55.839133,"A large group of people are standing in a line outside a building, some are receiving supplies.",0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://i.guim.co.uk/img/media/85bdaa15058a19bad646196ecf05c0bd93d29aee/0_383_5745_3447/master/5745.jpg?width=445&dpr=1&s=none,2024-08-10T02:34:55.839133,A large crowd of people are gathered together in front of a building.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://www.campusfrance.org/sites/default/files/styles/mobile_visuel_principal_page/public/medias/images/2020-07/vignette-mesures-sanitaires-rentree2020.jpg?itok=8LnHOgny,2024-08-10T02:34:55.839133,Five people are standing in a line wearing face masks.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://dims.apnews.com/dims4/default/b91cabf/2147483647/strip/true/crop/3000x2000+0+0/resize/599x399!/quality/90/?url=https%3A%2F%2Fstorage.googleapis.com%2Fafs-prod%2Fmedia%2F149d44213aba49a28897891242c286de%2F3000.jpeg,2024-08-10T02:34:55.839133,A person wearing a dark jacket stands in front of a stone structure with multiple levels.,0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://impactfrance.org/wp-content/uploads/2024/04/IMG-20221008-WA0002.jpg,2024-08-10T02:34:55.839133,"A group of people, mostly children, are gathered together holding various objects.",0,0,0,0,0,,2024-08-11T16:17:34.313046
PEOPLE,FRA,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSteb5ENgfvehJURnNQoWCkYUmedYqW_mrZng&s,2024-08-10T02:34:55.839133,"A large group of people are protesting in the street, being confronted by a line of uniformed officers.",0,0,0,0,0,,2024-08-11T16:17:34.313046
